Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
Sunspot,https://static.wikia.nocookie.net/superheroes/images/b/b3/Sunspot.jpg/revision/latest?cb=20230822180144,,"Marvel Graphic Novel #4: The New Mutants (September, 1982)","Chris Claremont, Bob McLeod",,"Lord Imperial, Black Rook, Black King, 'Berto",New York City,"Superhuman strength, Flight, Solar absorption and rechanneling, Heat and light projection, Concussive blasts","Fighting Experience, Business acumen",
Supergirl,https://static.wikia.nocookie.net/superheroes/images/b/b0/Supergirl.jpg/revision/latest/scale-to-width-down/250?cb=20230724235302,,"Action Comics #252 (May, 1959)","Otto Binder, Curt Swan","The Legion of Super-Heroes, Teen Titans, Justice League of America","Flamebird, Linda Lee Danvers, Claire Connors, Kara Kent, Linda Lang",Metropolis,"Superhuman strength, speed & stamina, various extra sensory and vision powers, heat vision, x-ray vision, invulnerability, and flight",Skilled Martial Artist,
Superman,https://static.wikia.nocookie.net/superheroes/images/7/72/Superman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165353,,"Action Comics (Vol. 1) #1
(published April 18, 1938,

cover-dated June 1938)","Jerry Siegel, Joe Shuster","Daily Planet (as Clark Kent), Galaxy Communications (as Clark Kent), Justice League of America, Legion of Super-Heroes, The Justice Society of America, The Black Lantern Corps.","Gangbuster, Jordan Elliot, Nightwing, Nova, Superboy, Doc Fission",Metropolis,"Superhuman strength, speed, agility, reflexes, hearing, longevity, Eternal Youth, stamina,  intelligence, Invulnerability, Heat Vision, Flight, Freezing breath, Super breath, Multiple extrasensory and vision powers not limited to but including X-ray vision, Healing factor","Award Winning Reporter and Writer, Master Hand-to-hand combatant, Master martial artist, Fighting Experience, Master Strategist, Robotics Expertise (pre-Crisis)",Phantom Zone Projector
Synch,https://static.wikia.nocookie.net/superheroes/images/6/64/Synch.jpg/revision/latest/scale-to-width-down/200?cb=20230913211321,,"X-Men (Vol. 2) #36 (September, 1994)","Scott Lobdell, Fabian Nicieza, Chris Bachalo","Generation X, X-Men",Synchbiote,Krakoa,"Bio-synchronicity field, power mimicry",Fighting Experience,
Thanos,https://static.wikia.nocookie.net/superheroes/images/0/06/Thanos.png/revision/latest?cb=20210813235902,,,,,,,,,
Thunderbird,https://static.wikia.nocookie.net/superheroes/images/4/4f/Thunderbird.jpg/revision/latest/scale-to-width-down/250?cb=20231020141651,,"Giant-Size X-Men #1 (May, 1975)","Len Wein, Dave Cockrum",,,"Salem Center, New York","Superhuman senses, strength, speed, stamina, and sturdiness",Trained unarmed/hand-to-hand combatant,
Thundra,https://static.wikia.nocookie.net/superheroes/images/c/cc/Thundra.webp/revision/latest/scale-to-width-down/180?cb=20230408165634,,,,,,,,,
Titan,https://static.wikia.nocookie.net/superheroes/images/d/db/Titan.jpg/revision/latest/scale-to-width-down/250?cb=20161020050735,,"Comics Greatest World: Golden City Week 2 (July, 1993)","Mike Richardson, Randy Stradley, Barbara Kesel, Jerry Prosser, Chris Warner",Alderwoman Faith Perdue,"Mr. Red, White, and Blue",Golden City,"flight, invulnerability, super-strength, super-speed, heightened endurance, imperviousness to pain, ability to return from the dead",Fighting Experience,
Toad,https://static.wikia.nocookie.net/superheroes/images/1/19/Toad.jpg/revision/latest/scale-to-width-down/350?cb=20191013232214,,,,,,,,,
Toxin,https://static.wikia.nocookie.net/superheroes/images/5/53/Toxin.jpg/revision/latest/scale-to-width-down/325?cb=20210409140540,,,,,,,,,
Ultron,https://static.wikia.nocookie.net/superheroes/images/b/b3/Ultron.jpg/revision/latest/scale-to-width-down/250?cb=20180215005714,,"The Avengers (Vol. 1) #54 (July, 1968) [non-named cameo], The Avengers (Vol. 1) #55 (August, 1968) [first named appearance]","Roy Thomas, John Buscema","Masters of Evil, Lethal Legion, Sons of Yinsen, Ultron Sentries, Iron Legion, Phalanx, Iron Avengers","Crimson Cowl, Ultron-5, Ultron-6, Ultron-7, Ultron-8, Ultron-9, Ultron-10, Ultron-11, Ultron-12, Ultron-13, Ultron-14, Ultron-15, Ultron-16, Ultron-17, Ultron-18, Ultimate Ultron, Ultron Pym, Ultron Prime, Hank Pym",,"Robot Physiology, Super Strength, Super Endurance",Super Intelligence,
Vibe,https://static.wikia.nocookie.net/superheroes/images/e/e3/Vibe.webp/revision/latest/scale-to-width-down/332?cb=20220501184435,,,,,,,,,
Violator,https://static.wikia.nocookie.net/superheroes/images/f/f6/Violator.jpeg/revision/latest/scale-to-width-down/250?cb=20200326153808,,"Spawn #2 (May, 1992)",Todd MacFarlane,,"The Clown, Demonic, Barney Saunders",Hell,"Superhuman strength and durability, Longevity, Shapeshifting, Telepathy, Demonic possession","Master Manipulator and Strategist, Possessor of Ancient Knowledge",
Vision,https://static.wikia.nocookie.net/superheroes/images/a/a7/Vision.jpg/revision/latest/scale-to-width-down/250?cb=20240226190207,,"The Avengers (Vol. 1) #57 (October, 1968)","Roy Thomas, Stan Lee, John Buscema","Avengers, West Coast Avengers, Avengers A.I., Defenders",,New York City,"Superhuman agility, intelligence, strength and speed, Flight, Density control, Intangibility, Shapeshifting, Mass manipulation, Regeneration, Solar energy projection, Technopathy, Robot Physiology",Skilled Fighter,
Vixen,https://static.wikia.nocookie.net/superheroes/images/6/63/Vixen.jpg/revision/latest?cb=20240220181549,,"Action Comics (Vol. 1) #521
(July, 1981)","Gerry Conway, Bob Oksner",,,Mobile,"Mimics the abilities of any animal that has ever lived on Earth, healing factor",Fighting Experience,Tantu Totem
Warlock,https://static.wikia.nocookie.net/superheroes/images/7/7b/Warlock.jpeg/revision/latest/scale-to-width-down/200?cb=20191224003459,,"New Mutants #18 (April, 1984)","Chris Claremont, Bill Sienkiewicz","New Mutants, X-Factor, Excalibur",Douglock,Krakoa,"Shapeshifting, Matter absorption, Energy absorption, Energy projection","Fighting Experience, Strong Will",
Warpath,https://static.wikia.nocookie.net/superheroes/images/3/34/Warpath.jpg/revision/latest/scale-to-width-down/250?cb=20160513153635,,New Mutants (Vol. 1) #16 (June 1984),"Chris Claremont, Sal Buscema",,"Thunderbird, Running Sun",Currently unknown,"Superhuman strength, senses, agility, reflexes/reactions, flexibility, speed, stamina, endurance, resilience and resistance to injury, Flight","Trained armed/unarmed combatant, Skilled hunter and tracker",
Wasp,https://static.wikia.nocookie.net/superheroes/images/2/2a/Wasp.jpg/revision/latest/scale-to-width-down/250?cb=20230901025211,,"Tales to Astonish (Vol. 1) #44 (March, 1963)","Stan Lee, Jack Kirby",Avengers,Giant-Woman,Avengers Mansion,"Size shifting, bio-electric stinger blasts, flight via insect-like wings",Skilled Fighter,
White Canary,https://static.wikia.nocookie.net/superheroes/images/4/41/White_Canary.jpg/revision/latest/scale-to-width-down/180?cb=20220906130035,,,,,,,,,
Wolfsbane,https://static.wikia.nocookie.net/superheroes/images/b/b9/Wolfsbane.jpg/revision/latest/scale-to-width-down/250?cb=20230904162852,,"Marvel Graphic Novel #4 (September, 1982)","Chris Claremont, Bob McLeod","X-Men, New Mutants, Excalibur, X-Factor",Mutate 490,Krakoa,"Lycanthropy, Enhanced senses, Claws",Fighting experience,
Wolverine,https://static.wikia.nocookie.net/superheroes/images/c/c6/Wolverine.jpg/revision/latest/scale-to-width-down/250?cb=20230904160714,,"The Incredible Hulk #180 (October, 1974) [cameo], The Incredible Hulk #181 (November, 1974) [in Full]","Roy Thomas, Len Wein, John Romita, Sr.",,"Logan (long thought to be real name), Patch, Captain Canada, Weapon X (Ten), Death, Mutate #9601, Emilio Garra, Weapon Chi, Experiment X, Agent Ten, Peter Richards, Mai' keth, Black Dragon, Captain Terror, John Logan, Jim Logan, Revolto the Clown","Salem Center, New York","Accelerated healing factor, Adamantium-laced skeletal structure, Six retractable adamantium claws (three claws on each hand), Pronounced canines, Superhuman senses, strength, agility, stamina, reflexes, and longevity","Master martial artist and tactician, Espionage Expertise, Expert Marksmanship, Expert Swordsmanship",
Wonder Girl,https://static.wikia.nocookie.net/superheroes/images/4/43/Wonder_Girl.jpg/revision/latest/scale-to-width-down/250?cb=20230418183606,,"Wonder Woman (vol. 2) #105 (January, 1996)",John Byrne,"Young Justice, Teen Titans, Justice League",Wonder Woman,Themyscira,"Superhuman strength, superhuman speed, flight, enhanced durability",Trained in battle by the Amazons of Themiscyra,
Wonder Man,https://static.wikia.nocookie.net/superheroes/images/d/d0/Wonder_Man.png/revision/latest/scale-to-width-down/180?cb=20160205034839,,,,,,,,,
X-23,https://static.wikia.nocookie.net/superheroes/images/8/8f/X-23.jpg/revision/latest?cb=20230822165729,,,,,,,,,
X-Man,https://static.wikia.nocookie.net/superheroes/images/6/63/X-Man.jpg/revision/latest/scale-to-width-down/250?cb=20231103004751,,"X-Man (Vol. 1) #1 (March, 1995)","Jeph Loeb, Steve Skroce","Brotherhood of Mutants, New Mutants, X-Men, Outcasts","19X, Shaman of the Mutant Tribe",Mobile,"Telepathy, Psychometry, Telekinesis, Astral Projection, Psionic Energy Form, Interdimensional Teleportation, Reality Warping.",Fighting Experience,
