Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
Mysterio,https://static.wikia.nocookie.net/superheroes/images/2/2a/Mysterio.jpg/revision/latest/scale-to-width-down/250?cb=20180325124110,,"The Amazing Spider-Man (Vol. 1) #13 (June, 1964)","Stan Lee, Steve Ditko","Maggia, Sinister Six",Dr. Ludwig Rinehart,New York City,,"Expert in illusion, special effects, robotics, chemistry, hypnosis",
Namora,https://static.wikia.nocookie.net/superheroes/images/f/fb/Namora.jpg/revision/latest/scale-to-width-down/250?cb=20140620192934,,Marvel Mystery Comics #47 (May 1947),,,,Atlantis,"Hydrokinesis, Super strength, limited invulnerability, swim at superhuman speeds, ability to breathe both water and air, slowed aging process, and wings-like appendages on her ankles that allow her to fly.",Fighting Experience,
Namorita,https://static.wikia.nocookie.net/superheroes/images/5/5b/Namorita.jpg/revision/latest/scale-to-width-down/250?cb=20240401032536,,"Sub-Mariner #50 (June, 1972)",Bill Everett,,,Atlantis,"Aquatic adaptation, Super strength, high speed swimming, atmospheric flight
Touch can create burning acid or paralytic toxin, Can become transparent",Fighting Experience,
Nathan Petrelli,https://static.wikia.nocookie.net/superheroes/images/f/fa/Nathan_Petrelli.jpg/revision/latest/scale-to-width-down/180?cb=20170714212921,,,,,,,,,
Nightcrawler,https://static.wikia.nocookie.net/superheroes/images/9/93/Nightcrawler.jpg/revision/latest?cb=20230904172538,,"Giant-Size X-Men #1 (May, 1975)","Len Wein, Dave Cockrum",,"Fuzzy Blue Elf, Kurt Szardos","Salem Center, New York","Teleportation, Super-Agility, Ability to Stick to Walls, Prehensile Tale, Ability to Blend into Shadows, Night Vision",,Occasionally fights with a fencing foil
Nightwing,https://static.wikia.nocookie.net/superheroes/images/8/89/Nightwing.jpg/revision/latest/scale-to-width-down/250?cb=20230413171534,,"Detective Comics (Vol. 1) #38 (April 1940) [as Robin], Tales of the Teen Titans #44 (July, 1984) [as Nightwing], Batman: Battle for the Cowl #3 (July, 2009) [as Batman]","Bob Kane, Bill Finger, Jerry Robinson","Batman Family, Teen Titans, Young Justice, Outsiders, Justice League, Batman Inc., Spyral, Super Friends (animation only)","Robin, Nightwing, Batman, The Target, Renegade, Agent 37[2] Robbie Malone, Freddy Loyd, Chester Honeywell, Freddie Dinardo","Gotham City, previously New York City and Blüdhaven",,"Peak human level athlete, Master martial artist, acrobat, detective, tactician, and field commander","Escrima Sticks, various spy and detective tools"
Northstar,https://static.wikia.nocookie.net/superheroes/images/7/7f/Northstar.jpg/revision/latest?cb=20230904171847,,"Uncanny X-Men #120 (April, 1979)","Chris Claremont, John Byrne",,Jean-Paul Martin,currently unknown,"Superhuman speed and durability, Flight, Light manipulation",Fighting Experience,
Nova,https://static.wikia.nocookie.net/superheroes/images/c/c3/Nova.jpg/revision/latest/scale-to-width-down/250?cb=20240401194657,,"Marvel Point One #1 (November, 2011)","Jeph Loeb, Ed McGuinness","Nova Corps, New Warriors, New Avengers, Avengers, S.H.I.E.L.D., Champions","Alexander-the-not-so-great, Black Nova, Bilbo, Bucket Head, Darth Nova, Human Rocket, Kid Nova, Nova-Sam, Samuel Alejandro, Xandarian Pawn","Carefree, Arizona","Superhuman strength and durability, Flight, Energy projection, Universal translation, Ability to survive in space",Experienced fighter,
Ozymandias,https://static.wikia.nocookie.net/superheroes/images/5/5b/Ozymandias.jpg/revision/latest/scale-to-width-down/250?cb=20170210020030,,"Watchmen #1 (September, 1986)","Alan Moore,Dave Gibbons",Crimebusters (briefly),The Smartest Man in the World,New York City,,"Super Intelligence, Peak Level Athlete (Strength, Speed, Reflexes), Skilled in a Large Number of Sciences and Disciplines, Master Strategist",
Phantom,https://static.wikia.nocookie.net/superheroes/images/f/f8/Phantom.jpg/revision/latest/scale-to-width-down/180?cb=20170421002505,,,,,,,,,
