Unnamed: 0,Title,Title_Synonym,Title_Japanese,Status,Volumns,Chapters,Publishing,Rank,Score,Scored_by,Popularity,Memebers,Favorites,Synopsis,Publish_period,Genre,image_url,manga_url
159,Youjo Senki,The Saga of Tanya the Evil,幼女戦記,Publishing,unkown,unkown,True,160,8.42,3503,748,16934,656,"Tanya Degurechaff is a soldier who has the appearance of an innocent young girl. But behind her cute facade lies the soul of a ruthless salaryman who challenged ""Being X""—the self-proclaimed God who reincarnated the man into an industrial world of magic. By doing this, Being X hopes to prove that, if the situation were dire enough, even a non-believer like this man would pray for God's help. Opposing Being X's desires to make her suffer, Tanya enlists in the military with the hope of living a peaceful life. She manages to impress the higher-ups with her aptitude for war, swiftly rising through the ranks. However, her country soon participates in the ongoing world war, quickly crushing her dream. In an attempt to return to her calm she starts using any merciless means to obliterate her opponents. Thus begins the saga of Tanya the Evil and the Empire as they seek world domination. [Written by MAL Rewrite]","Oct  31, 2013 to present","'Magic', 'Military'",https://ta1.yx247.com/files/img/logo/201605/201605111650452323.jpg,https://ninemanga.com/manga/Youjo+Senki.html
160,Kimi no Na wa.,Your name.,君の名は。,Finished,3.0,9.0,False,161,8.42,22468,166,60993,1145,"Mitsuha Miyamizu is a high school girl living in the countryside town of Itomori. She yearns for a life in Tokyo as she is sick of living in the countryside. At the same time, Taki Tachibana, a high school student, lives in Tokyo and has a great interest in architecture, aiming to become an urban planner in the near future. One day, Mitsuha dreams of herself as a boy living a life in the dense capital, while Taki dreams of living as a girl in the rural town of Itomori. As time passes by, the two discover that these are not just dreams, but that they actually swap bodies upon falling asleep! Kimi no Na wa. revolves around Mitsuha and Taki as they experience the supernatural. With both of them working together to deal with the strange phenomenon, how will this impact their everyday life? [Written by MAL Rewrite]","May  27, 2016 to Jan  27, 2017","'Drama', 'Romance', 'School', 'Supernatural', 'Seinen'",https://ta1.yx247.com/files/img/logo/201710/201710021010144231.jpg,https://ninemanga.com/manga/Kimi+no+Na+wa..html
161,Spirit Fingers,unkown,스피릿 핑거스,Finished,13.0,163.0,False,169,8.42,1412,3734,3786,166,​An ordinary girl... joins an extraordinary drawing club?! A story of finding one's true colors. (Source: MU),"May  16, 2015 to Jul  21, 2018","'Comedy', 'Romance', 'Slice of Life'",https://ta1.yx247.com/files/img/logo/201605/201605090530148978.jpg,https://ninemanga.com/manga/Spirit+Fingers.html
162,Kimi wa Houkago Insomnia,Insomniacs After School,君は放課後インソムニア,Publishing,unkown,unkown,True,170,8.42,2353,1507,9211,317,"It all started with the death of one of the Astronomy Club's members. From this, the rumored ghost of the club came to life. Grumpy insomniac Ganta Nakami stumbles across the moderately rebellious yet easygoing Isaki Magari in the Astronomy Club's abandoned observatory. Magari is jolted awake and tries to escape from the scene, only to have a broken door prevent that, forcing the two inside. The two forge an unlikely friendship, leading them to use the observatory as a safe space for them to interact. Kimi wa Houkago Insomnia follows the insomniacs Nakami and Magari's time in the starlit observatory as they help each other cope with insomnia and the lasting effects it has on student life. [Written by MAL Rewrite]","May  20, 2019 to present","'School', 'Slice of Life', 'Seinen'",https://ta1.yx247.com/files/img/logo/201907/201907241251133236.jpg,https://ninemanga.com/manga/Kimi+wa+Houkago+Insomnia.html
163,21st Century Boys,21st Century Boys,21世紀少年,Finished,2.0,16.0,False,162,8.42,29032,189,54289,527,"As the conflict between Kenji Endo, his childhood friends, and cult leader ""Friend"" comes to an end, two mysteries remain—Friend's true identity and whether the threat of an ""anti-photon bomb"" before his death was legitimate. Hoping to find an answer, Kenji, alongside the United Nations, decides to use a virtual reality program created from Friend's childhood memories in this conclusion to a long journey that will span dozens of decades. [Written by MAL Rewrite]","Dec  25, 2006 to Jul  14, 2007","'Mystery', 'Drama', 'Sci-Fi', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201504/201504070148484525.jpg,https://ninemanga.com/manga/21st+Century+Boys.html
164,Glass no Kamen,unkown,ガラスの仮面,Publishing,unkown,unkown,True,164,8.42,2214,1592,8767,338,"Maya Kitajima is a good-for-nothing girl with a passion and talent for acting. After watching a play only once, Maya can immediately perfectly imitate the performance word-by-word. This talent leads her to one day be discovered by Chigusa Tsukikage, a once-famous actress who performed and owned the rights to the play called ""The Crimson Goddess."" Considered to be a legendary play, The Crimson Goddess attracts the attention of many, including Masumi Hayami, a wealthy businessman who is also a secret admirer of Maya. Another one interested in the play is Maya's rival, Ayumi Himekawa, a gifted individual whose veteran parents trained her in acting since childhood. Glass no Kamen follows Maya and Ayumi as they climb their way through the relentless world of entertainment, overcoming intense training and challenges to become actresses worthy of playing the role of The Crimson Goddess. [Written by MAL Rewrite]",Jan  1976 to present,"'Drama', 'Romance', 'Shoujo'",https://ta1.yx247.com/files/img/logo/201507/201507061926431650.jpg,https://ninemanga.com/manga/Glass+no+Kamen.html
166,My Girl,My Girl,マイガール,Finished,5.0,44.0,False,166,8.42,8056,533,23095,582,"Twenty-three-year-old Masamune Kazama spends his days working a mundane office job and dwelling on the past. Although it has been five years, the young bachelor continues to hold onto his relationship with his past girlfriend, Youko Tsukamoto. Out of the blue, he receives a call from Youko's mother, who informs him that she has passed away in an accident. Furthermore, he learns that Youko has left him with a young daughter, who was raised in secrecy overseas. Stricken with grief, Masamune decides to take in the young girl and raise her on his own. My Girl is a tale of family, loss, and acceptance as Masamune navigates the complexities of daily life as a single father. [Written by MAL Rewrite]","Jun  2, 2006 to Sep  3, 2010","'Drama', 'Slice of Life', 'Seinen'",https://ta1.yx247.com/files/img/logo/201507/201507062006072927.jpg,https://ninemanga.com/manga/My+Girl.html
169,Basara,Basara,BASARA,Finished,27.0,112.0,False,173,8.41,5332,744,17027,695,"Sarasa grew up knowing that her twin brother Tatara was prophesied to be the ""boy of destiny,"" the one who would overthrow the oppressive government and unite the people. When Tatara dies in battle, however, Sarasa realizes that it's up to her to secretly take on her brother's identity. On the way, Sarasa meets and falls in love with the mysterious Shuri, who may also have something up his sleeve. Together, she and her group of ragtag fighters journey across the land, attacking the many rulers and hoping to someday reach the leader of them all, the Red King.","Aug  11, 1990 to May  13, 1998","'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo'",https://ta1.yx247.com/files/img/logo/201504/201504041323318004.jpg,https://ninemanga.com/manga/Basara.html
170,Doraemon,Doraemon,ドラえもん,Finished,45.0,821.0,False,163,8.42,5462,1319,10563,748,"Doraemon is cat shaped robot from the future traveling all the way back to the 20th century in order to help Nobi Nobita, a lazy kid with nothing really going for him. Nobi is bad at sports, his grades are terrible, he can't even win a match of rock-paper-scissors. Doraemon has a hard task ahead of him but he is well prepared with a huge arsenal of the most inventive and funny gadgets available. The problem is he's not the most competent robot cat helper out there either and the pair gets in constant trouble because of it. Thus begins one of the most interesting friendships ever to appear in a manga series.",Dec  1969 to  1996,"'Adventure', 'Comedy', 'Kids', 'School', 'Sci-Fi', 'Shounen', 'Slice of Life'",https://ta1.yx247.com/files/img/logo/201503/201503220903514086.jpg,https://ninemanga.com/manga/Doraemon.html
172,Wind Breaker,Wind Breaker,윈드 브레이커,Publishing,unkown,unkown,True,172,8.41,4042,1203,11502,565,"Jo Ja-Hyun (Jay) is the student president of Taeyang (Sunny) High. He is not just a smart student but an extreme biker with high techniques. As you follow his bike, you will meet his friends, love, and adventures. (Source: MU)","Dec  15, 2013 to present","'Action', 'Drama', 'Sports'",https://ta1.yx247.com/files/img/logo/201503/201503220936104060.jpg,https://ninemanga.com/manga/Wind+Breaker.html
