Unnamed: 0,Title,Title_Synonym,Title_Japanese,Status,Volumns,Chapters,Publishing,Rank,Score,Scored_by,Popularity,Memebers,Favorites,Synopsis,Publish_period,Genre,image_url,manga_url
0,Berserk,Berserk,ベルセルク,Publishing,unkown,unkown,True,1,9.39,201756,2,427894,80308,"Guts, a former mercenary now known as the ""Black Swordsman,"" is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings. Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity. [Written by MAL Rewrite] Included one-shot: Volume 14: Berserk: The Prototype","Aug  25, 1989 to present","'Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Military', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220753466797.jpg,https://ninemanga.com/manga/Berserk.html
2,One Piece,One Piece,ONE PIECE,Publishing,unkown,unkown,True,3,9.15,249936,3,410522,82310,"Gol D. Roger, a man referred to as the ""Pirate King,"" is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the Pirate King is executed and the Great Age of Pirates begins. Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new Pirate King. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas. [Written by MAL Rewrite]","Jul  22, 1997 to present","'Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power'",https://ta1.yx247.com/files/img/logo/201503/201503220937527222.jpg,https://ninemanga.com/manga/One+Piece.html
3,Vagabond,Vagabond,バガボンド,On Hiatus,37.0,327.0,False,4,9.13,72613,19,211345,21596,"In 16th century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive. After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the authorities: Musashi Miyamoto. Vagabond is the fictitious retelling of the life of one of Japan's most renowned swordsmen, the ""Sword Saint"" Musashi Miyamoto—his rise from a swordsman with no desire other than to become ""Invincible Under the Heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself. [Written by MAL Rewrite]","Sep  3, 1998 to May  21, 2015","'Action', 'Adventure', 'Drama', 'Historical', 'Samurai', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220916154214.jpg,https://ninemanga.com/manga/Vagabond.html
4,Monster,Monster,MONSTER,Finished,18.0,162.0,False,5,9.1,57801,33,148764,13049,"Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of Düsseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead. As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful career—that is, until the mysterious killing of Heinemann gives him another chance. Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monster—the same one that Tenma saved on that fateful day nine years ago. [Written by MAL Rewrite]","Dec  5, 1994 to Dec  20, 2001","'Mystery', 'Drama', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201507/201507062005422318.jpg,https://ninemanga.com/manga/Monster.html
5,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,Finished,27.0,116.0,False,6,9.08,130375,16,236950,26753,"Alchemists are knowledgeable and naturally talented individuals who can manipulate and modify matter due to their art. Yet despite the wide range of possibilities, alchemy is not as all-powerful as most would believe. Human transmutation is strictly forbidden, and whoever attempts it risks severe consequences. Even so, siblings Edward and Alphonse Elric decide to ignore this great taboo and bring their mother back to life. Unfortunately, not only do they fail in resurrecting her, they also pay an extremely high price for their arrogance: Edward loses his left leg and Alphonse his entire body. Furthermore, Edward also gives up his right arm in order to seal his brother's soul into a suit of armor. Years later, the young alchemists travel across the country looking for the Philosopher's Stone, in the hopes of recovering their old bodies with its power. However, their quest for the fated stone also leads them to unravel far darker secrets than they could ever imagine. [Written by MAL Rewrite]","Jul  12, 2001 to Sep  11, 2010","'Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Military'",https://ta1.yx247.com/files/img/logo/201503/201503212023002543.jpg,https://ninemanga.com/manga/Fullmetal+Alchemist.html
6,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,Finished,13.0,147.0,False,7,9.05,107866,10,276311,34636,"Punpun Onodera is a normal 11-year-old boy living in Japan. Hopelessly idealistic and romantic, Punpun begins to see his life take a subtle—though nonetheless startling—turn to the adult when he meets the new girl in his class, Aiko Tanaka. It is then that the quiet boy learns just how fickle maintaining a relationship can be, and the surmounting difficulties of transitioning from a naïve boyhood to a convoluted adulthood. When his father assaults his mother one night, Punpun realizes another thing: those whom he looked up to were not as impressive as he once thought. As his problems increase, Punpun's once shy demeanor turns into voluntary reclusiveness. Rather than curing him of his problems and conflicting emotions, this merely intensifies them, sending him down the dark path of maturity in this grim coming-of-age saga. [Written by MAL Rewrite]","Mar  15, 2007 to Nov  2, 2013","'Drama', 'Slice of Life', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220557281907.jpg,https://ninemanga.com/manga/Oyasumi+Punpun.html
7,Grand Blue,Grand Blue Dreaming,ぐらんぶる,Publishing,unkown,unkown,True,8,9.04,43573,61,118761,11740,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends. But things don't exactly go according to plan. Upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. Though unwilling at first, Iori quickly gives in and becomes the heart and soul of the party. Unfortunately, this earns him the scorn of his cousin, Chisa Kotegawa, who walks in at precisely the wrong time. Undeterred, Iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive? [Written by MAL Rewrite]","Apr  7, 2014 to present","'Comedy', 'Slice of Life', 'Seinen'",https://ta1.yx247.com/files/img/logo/201607/201607200911183359.jpg,https://ninemanga.com/manga/Grand+Blue.html
8,Slam Dunk,Slam Dunk,SLAM DUNK,Finished,31.0,276.0,False,9,9.02,47977,73,103814,10289,"Hanamichi Sakuragi, a tall, boisterous teenager with flame-red hair and physical strength beyond his years, is eager to put an end to his rejection streak of 50 and finally score a girlfriend as he begins his first year of Shohoku High. However, his reputation for delinquency and destructiveness precedes him, and most of his fellow students subsequently avoid him like the plague. As his first day of school ends, he is left with two strong thoughts: ""I hate basketball"" and ""I need a girlfriend."" Haruko Akagi, ignorant of Hanamichi's history of misbehavior, notices his immense height and unwittingly approaches him, asking whether or not he likes basketball. Overcome by the fact that a girl is speaking to him, the red-haired giant blurts out a yes despite his true feelings. At the gym, Haruko asks if he can do a slam dunk. Though a complete novice, Hanamachi palms the ball and makes the leap...but overshoots, slamming his head into the backboard. Amazed by his near-inhuman physical abilities, Haruko quickly notifies the school's basketball captain of his feat. With this, Hanamichi is unexpectedly thrust into a world of competition for a girl he barely knows, but he soon discovers that there is perhaps more to basketball than he once thought. [Written by MAL Rewrite]","Sep  18, 1990 to Jun  4, 1996","'Comedy', 'Drama', 'School', 'Shounen', 'Sports'",https://ta1.yx247.com/files/img/logo/201507/201507061939036484.jpg,https://ninemanga.com/manga/Slam+Dunk.html
9,Kingdom,unkown,キングダム,Publishing,unkown,unkown,True,10,8.98,40183,67,107482,9881,"During the Warring States period in China, Li Xin and Piao are two brother-like youngsters who dream of becoming Great Generals, despite their low status as orphaned slaves. One day, they encounter a man of nobility, who gives Piao an opportunity to undertake an important duty within the state of Qin's royal palace. Parting ways, Xin and Piao promise each other to one day become the greatest generals in the world. However, after a fierce coup d'état occurs in the palace, Xin meets with a dying Piao, whose last words spur him into action and lead him to encounter the young and soon-to-be king of Qin, Ying Zheng. Although initially on bad terms, Xin and Zheng become comrades and start on a path filled with trials and bloodshed. Zheng's objective is to bring all the warring states under Qin, and Xin seeks to climb to the very top of the army ranks. Against a backdrop of constant tactical battle between states and great political unrest, both outside and within the palace, the two endeavor towards their monumental ambitions that will change history forever. [Written by MAL Rewrite]","Jan  26, 2006 to present","'Action', 'Drama', 'Historical', 'Military', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220939351863.jpg,https://ninemanga.com/manga/Kingdom.html
11,Vinland Saga,Vinland Saga,ヴィンランド・サガ,Publishing,unkown,unkown,True,12,8.95,72566,23,181238,18926,"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life. One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it. [Written by MAL Rewrite]","Apr  13, 2005 to present","'Action', 'Adventure', 'Drama', 'Historical', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220921216670.jpg,https://ninemanga.com/manga/Vinland+Saga.html
12,20th Century Boys,20th Century Boys,20世紀少年,Finished,22.0,249.0,False,13,8.94,53224,37,146473,12693,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop. Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world. [Written by MAL Rewrite]","Sep  27, 1999 to Apr  24, 2006","'Mystery', 'Drama', 'Historical', 'Sci-Fi', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201512/201512292230023822111.jpg,https://ninemanga.com/manga/20th+Century+Boys.html
14,Ashita no Joe,unkown,あしたのジョー,Finished,20.0,171.0,False,15,8.92,10767,369,32547,2877,"Joe Yabuki is a troubled young man who runs away from an orphanage. Wandering through the Tokyo slums, he meets former boxing trainer Danpei. Joe is later arrested and goes to a temporary jail where he fights Nishi, his future best friend and leader of a group of hooligans. He and Nishi then go to a juvenile prison miles away from Tokyo. There Joe meets Rikiishi, a former boxing prodigy, and a rivalry develops between them. They face each other in a match in which Rikiishi dominates Joe until the latter hits him with a cross-counter, resulting in both being knocked out. This inspires the other prison inmates to take up boxing. Joe and Rikiishi vow to fight again. (Source: Wikipedia)","Jan  1, 1968 to May  13, 1973","'Drama', 'Shounen', 'Sports', 'Slice of Life'",https://ta1.yx247.com/files/img/logo/201503/201503220530148057.jpg,https://ninemanga.com/manga/Ashita+no+Joe.html
16,Haikyuu!!,Haikyu!!,ハイキュー!!,Finished,45.0,407.0,False,17,8.9,69391,32,149724,13768,"The whistle blows. The ball is up. A dig. A set. A spike. Volleyball. A sport where two teams face off, separated by a formidable, wall-like net. The ""Little Giant,"" standing at only 170 cm, overcomes the towering net and the wall of blockers. The awe-inspired Shouyou Hinata looks on at the ace's crow-like figure. Determined to reach great heights like the Little Giant, small-statured Hinata finally manages to form a team in his last year of junior high school, and enters his first volleyball tournament. However, his team is utterly defeated in their first game against the powerhouse school Kitagawa Daiichi, led by the genius, but oppressive setter dubbed the ""King of the Court,"" Tobio Kageyama. Hinata enrolls into Karasuno High School seeking to take revenge against Kageyama in an official high school match and to follow in the Little Giant's footsteps—but his plans are ruined when he opens the gymnasium door to find Kageyama as one of his teammates. Now, Hinata must establish himself on the team and work alongside the problematic Kageyama to overcome his shortcomings and to fulfill his dream of making it to the top of the high school volleyball world. [Written by MAL Rewrite] Included one-shot: Volume 14: Nisekyuu!!","Feb  20, 2012 to Jul  20, 2020","'Comedy', 'Drama', 'School', 'Shounen', 'Sports'",https://ta1.yx247.com/files/img/logo/201503/201503220939321529.jpg,https://ninemanga.com/manga/Haikyuu%21%21.html
18,3-gatsu no Lion,March Comes in Like a Lion,3月のライオン,Publishing,unkown,unkown,True,19,8.9,13390,231,46547,3158,"Rei Kiriyama is an extraordinary shogi player. Among the few elites to have gone professional as a middle school student, he is considered a genius. But what lies behind his prodigious facade is a teenage boy who suffers immense pressure from both his family, and from the high expectations from the shogi community. Rei moves out to live a more independent life away from his family, but his unorganized lifestyle and unsociable personality show no signs of improvement. However, in a twist of fate that will prove to be a turning point in his life, Rei then encounters the Kawamoto sisters—the motherly Akari, the passionate Hinata, and the energetic Momo—who take great care of him. 3-gatsu no Lion tells the story of Rei as he reshapes his melancholic life and picks up the courage to begin facing the problems he evaded during his past. [Written by MAL Rewrite]","Jul  13, 2007 to present","'Drama', 'Game', 'Slice of Life', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220935014559.jpg,https://ninemanga.com/manga/3-gatsu+no+Lion.html
19,Houseki no Kuni,Land of the Lustrous,宝石の国,Publishing,unkown,unkown,True,20,8.88,20639,149,67194,7386,"Long ago, Earth was struck by six meteorites, creating six moons and leaving a lone island in their wake. Those who could not make it to the island sank to the bottom of the ocean, where, over time, they slowly turned to crystal. As countless millennia passed, 28 of these crystallized lifeforms, known as the Lustrous, rose from the depths and resided on the island. Led by the wise Kongou-sensei, they must defend themselves against the seemingly infinite number of Lunarians, inhabitants of the moons who seek to harvest their valuable bodies for crafting weapons and jewelry. Houseki no Kuni centers around Phosphophyllite, a young gem about to turn three hundred years old. Clumsy, extremely fragile, and having no visible talent, they are one of the weakest gems around, unable to help in the fight against the Lunarians in any meaningful way. But as the battle with the otherworldly invaders rages on, they soon learn that power comes at a cost that no one should have to pay. [Written by MAL Rewrite]","Oct  25, 2012 to present","'Action', 'Drama', 'Fantasy', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220848035877.jpg,https://ninemanga.com/manga/Houseki+no+Kuni.html
20,Yotsuba to!,Yotsuba&!,よつばと!,Publishing,unkown,unkown,True,21,8.86,43273,63,117051,13008,"Yotsuba's daily life is full of adventure. She is energetic, curious, and a bit odd—odd enough to be called strange by her father as well as ignorant of many things that even a five-year-old should know. Because of this, the most ordinary experience can become an adventure for her. As the days progress, she makes new friends and shows those around her that every day can be enjoyable. [Written by MAL Rewrite]","Mar  21, 2003 to present","'Comedy', 'Slice of Life'",https://ta1.yx247.com/files/img/logo/201808/201808080647529812.jpg,https://ninemanga.com/manga/Yotsuba+to%21.html
21,Ookami to Koushinryou,Spice & Wolf,狼と香辛料,Publishing,unkown,unkown,True,22,8.86,13156,198,52755,3693,"A young traveling merchant, Kraft Lawrence has become accustomed to days of roaming and trading, with few companions. Or so it was until one peculiar day where the trader finds a young, naked, wolf-like girl asleep in his wagon. The beautiful girl, calling herself Holo, claims to be a local wolf deity worshipped by locals as the God of Good Harvest. Year after year, she ensured they would reap a good harvest, but she has since grown tired of fulfilling the wishes of the ungrateful locals. Holo ends up striking a deal with Kraft: if he helps her escape the villagers, she will gladly help him in his merchant endeavors. Together, they roam from town to town in search of business, and Kraft realizes both the ups and downs of traveling with a haughty and shrewd wolf goddess. [Written by MAL Rewrite]","Feb  10, 2006 to present","'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural'",https://ta1.yx247.com/files/img/logo/201503/201503220804317663.jpg,https://ninemanga.com/manga/Ookami+to+Koushinryou.html
22,Koe no Katachi,A Silent Voice,聲の形,Finished,7.0,64.0,False,23,8.86,118812,18,219371,19596,"Shouya Ishida, a boy always looking for ways to beat boredom, ends up looking for it in the wrong place. Weirded out by his new classmate, a deaf transfer student named Shouko Nishimiya, he deems her as the target of his ostracizing and bullying. Day after day, Shouya picks on Shouko, unaware of the effects of his thoughtless actions. He finally understands the pain he has inflicted on her when one day, his bullying culminates in her leaving the school, and his classmates begin to shun and harass him every chance they get instead. Determined to right his wrongs, five years later, Shouya, now a third year high school loner, meets Shouko again. Thus begins the story of a young man's path to redemption. [Written by MAL Rewrite]","Aug  7, 2013 to Nov  19, 2014","'Drama', 'School', 'Shounen'",https://ta1.yx247.com/files/img/logo/201503/201503220817559869.jpg,https://ninemanga.com/manga/Koe+no+Katachi.html
23,Solo Leveling,Solo Leveling,나 혼자만 레벨업,Publishing,unkown,unkown,True,24,8.85,135251,13,254989,25391,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills. However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters. [Written by MAL Rewrite]","Mar  4, 2018 to present","'Action', 'Adventure', 'Fantasy'",https://ta1.yx247.com/files/img/logo/201811/201811042040243359.jpg,https://ninemanga.com/manga/Solo+Leveling.html
27,Akatsuki no Yona,Yona of the Dawn,暁のヨナ,Publishing,unkown,unkown,True,28,8.83,37284,76,100398,11067,"Once upon a time, the kingdom of Kouka was ruled by a red dragon in human form. By his side, four warriors imbued with dragon blood helped him lead the kingdom to prosperity. Time passed, and this tale became a legend to tell children. As the sole princess of Kouka, Yona lives a life of lavish ease. In love with her cousin, Su-won, and protected by her bodyguard, Son Hak, she wants for nothing and remains sheltered from the harrowing reality outside the castle walls. Contrary to this peaceful illusion, Kouka is about to undergo a political upheaval. After her beloved Su-won stages a bloody coup and murders her father, Yona is forced to flee with only Hak by her side. Though surrounded by enemies on all sides, the banished princess still yearns to save her kingdom. Her solution comes from an exiled priest, who tells her that her only hope is to find the four legendary dragon warriors. Guided by this seemingly fictitious myth, Yona sets out to find these warriors, determined to restore her kingdom. [Written by MAL Rewrite]","Aug  5, 2009 to present","'Action', 'Comedy', 'Fantasy', 'Romance', 'Shoujo'",https://ta1.yx247.com/files/img/logo/201503/201503220936473811.jpg,https://ninemanga.com/manga/Akatsuki+no+Yona.html
29,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Classroom of the Elite,ようこそ実力至上主義の教室へ,Finished,14.0,110.0,False,30,8.82,13112,237,45433,3659,"Receiving funding from the government to nurture the next generation's hopefuls, Tokyo Metropolitan Advanced Nurturing High School brings together the brightest youth of Japan onto a single campus. At this seemingly perfect institution, the reserved Kiyotaka Ayanokouji arrives as an incoming member of class 1-D, where he befriends one of his classmates, the antisocial Suzune Horikita. At first, his peers revel in the academy's leisurely lifestyle, taking advantage of all of its state-of-the-art facilities. Soon enough, however, the facade of Tokyo Metropolitan Advanced Nurturing High School gives way to its true nature—only the top scoring classes can fully utilize the school's offerings, and Class D is the furthest from such a status. Standing at the bottom of the hierarchy, Class D houses all of the school's ""worst"" students. Following this rude awakening, Ayanokouji, Horikita, and the rest of Class D must overcome their differences and clash against other classes in order to climb to the coveted position of Class A by any means necessary. [Written by MAL Rewrite]","May  25, 2015 to Sep  25, 2019","'Drama', 'School', 'Psychological'",https://ta1.yx247.com/files/img/logo/201602/201602012211414424.jpg,https://ninemanga.com/manga/Youkoso+Jitsuryoku+Shijou+Shugi+no+Kyoushitsu+e.html
30,Made in Abyss,Made in Abyss,メイドインアビス,Publishing,unkown,unkown,True,31,8.82,35792,71,105016,7767,"The Abyss, a hole of unprecedented depth—one young girl and a robot brave its dangers to find the truth. The town of Orth is a special one, as it is built around the edges of the massive Abyss, a wonder which has never been fully explored. Those who venture too far down never return, but those brave enough to traverse its territories are known as ""Cave Raiders"" and are heralded as legends. Within this town lives a young girl called Riko, the child of one of the most famous Cave Raiders of all time who disappeared on an expedition many years ago. One day, Riko's life changes when she meets a strange robot called Regu, who seems to appear from within the Abyss. Believing this to be a sign from her mother stuck at the bottom of the Abyss, Riko descends into its depths with Regu, ready to confront all the dangers within it. [Written by MAL Rewrite]","Oct  20, 2012 to present","'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'",https://ta1.yx247.com/files/img/logo/201511/201511232216161816.jpg,https://ninemanga.com/manga/Made+in+Abyss.html
31,Real,Real,リアル,Publishing,unkown,unkown,True,32,8.82,10825,218,48888,2061,"Tomomi Nomiya, former captain of his high school's basketball team turned delinquent, decides to drop out of school after he is crushed by the guilt of ruining a young girl's life in a traffic accident. As he dedicates his free time to helping her, he stumbles upon Kiyoharu Togawa, a former sprinter who has lost the use of his right leg and now plays wheelchair basketball as an alternate outlet. After challenging Kiyoharu to a one-on-one game, Tomomi is completely defeated. Inspired by this encounter, he realizes that he can't let his love for basketball die so easily and decides that he will do what he can to help others while striving to become a professional player. Meanwhile, Hisanobu Takahashi, Tomomi's replacement as the high school's team captain, gets into an accident and finds himself permanently paralyzed below the waist. Real tells the touching tale of these three young men as they struggle to overcome their disabilities and inner conflicts in order to achieve their dreams while igniting a passion that will bring them together. [Written by MAL Rewrite]",1999 to present,"'Drama', 'Sports', 'Psychological', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220646071778.jpg,https://ninemanga.com/manga/Real.html
32,Uchuu Kyoudai,Space Brothers,宇宙兄弟,Publishing,unkown,unkown,True,33,8.8,6258,489,24811,1196,"""A big brother must always stay ahead of his younger brother. That is my responsibility as the older sibling""—these are the words that have always motivated Mutta Nanba to try his best when it came to his younger brother Hibito. So naturally, in the summer of 2006 when the Nanba brothers witness something strange in the night sky, Hibito declared that he would become an astronaut and travel to the Moon, while Mutta countered with the affirmation that he would go to Mars. That was the promise they made to each other. Now in 2025, while Hibito is working with NASA and preparing to become the first Japanese to land on the moon, Mutta has been fired from his job in an automotive development company. Having difficulty finding another job, Mutta is given a lifetime opportunity when he receives a letter from JAXA—the Japan Aerospace Exploration Agency—telling him that he's been accepted to participate in the next astronaut selection. As if fate has given him a chance to fulfill the promise he made all those years ago, Mutta undertakes the difficult challenge of going to space. [Written by MAL Rewrite]","Dec  6, 2007 to present","'Drama', 'Sci-Fi', 'Space', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503220936483314.jpg,https://ninemanga.com/manga/Uchuu+Kyoudai.html
33,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",I sold my life for ten thousand yen per year.,寿命を買い取ってもらった。一年につき、一万円で。,Finished,3.0,18.0,False,34,8.79,46200,96,88206,7702,"Helpless and struggling for cash, 20-year-old Kusunoki sells the last of his possessions to buy food. Noticing his poverty, an old shop owner directs him to a store that supposedly purchases lifespan, time, and health. While not completely believing the man's words, Kusunoki nevertheless finds himself at the address out of desperation and curiosity. Kusunoki is crushed when he finds out the true monetary value of his lifespan—totaling a meager three hundred thousand yen. Deciding to sell the next 30 years of his life for ten thousand yen per year, Kusunoki is left with only three months to live. After heading home with the money, he is greeted by an unexpected visitor: the same store clerk he sold his lifespan to. She introduces herself as Miyagi, the one tasked with the job of observing him until the last three days of his life. Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. follows the remaining three months of Kusunoki's life as he confronts lingering regrets from the past and discovers what truly gives life value. [Written by MAL Rewrite]","Aug  10, 2016 to Oct  25, 2017","'Drama', 'Shounen'",https://ta1.yx247.com/files/img/logo/201712/201712192220058108.jpg,"https://ninemanga.com/manga/Jumyou+wo+Kaitotte+Moratta.+Ichinen+ni+Tsuki,+Ichimanen+de..html"
36,Mushishi,Mushishi,蟲師,Finished,10.0,50.0,False,37,8.76,15468,168,60373,2332,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows. This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on mushi is scarce because the majority of humans are unaware of their existence. So what are mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research mushi in hopes of understanding their place in the world's hierarchy of life. Ginko relentlessly chases rumors of occurrences that could be tied to mushi, all for the sake of finding an answer. It could, after all, lead to the meaning of life itself. [Written by MAL Rewrite]","Nov  1999 to Aug  25, 2008","'Mystery', 'Fantasy', 'Historical', 'Supernatural', 'Seinen'",https://ta1.yx247.com/files/img/logo/201503/201503212142244393.jpg,https://ninemanga.com/manga/Mushishi.html
37,The Horizon,The Horizon,수평선,Finished,3.0,21.0,False,38,8.75,10756,475,25479,1543,"In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward. One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts. [Written by MAL Rewrite]","Mar  30, 2016 to Jul  21, 2016","'Adventure', 'Drama', 'Psychological'",https://ta1.yx247.com/files/img/logo/202004/202004240624347050.jpg,https://ninemanga.com/manga/The+Horizon.html
39,One Punch-Man,One-Punch Man,ワンパンマン,Publishing,unkown,unkown,True,41,8.73,158388,7,329615,27068,"After rigorously training for three years, the ordinary Saitama has gained immense strength which allows him to take out anyone and anything with just one punch. He decides to put his new skill to good use by becoming a hero. However, he quickly becomes bored with easily defeating monsters, and wants someone to give him a challenge to bring back the spark of being a hero. Upon bearing witness to Saitama's amazing power, Genos, a cyborg, is determined to become Saitama's apprentice. During this time, Saitama realizes he is neither getting the recognition that he deserves nor known by the people due to him not being a part of the Hero Association. Wanting to boost his reputation, Saitama decides to have Genos register with him, in exchange for taking him in as a pupil. Together, the two begin working their way up toward becoming true heroes, hoping to find strong enemies and earn respect in the process. [Written by MAL Rewrite]","Jun  14, 2012 to present","'Action', 'Comedy', 'Parody', 'Sci-Fi', 'Super Power', 'Supernatural'",https://ta1.yx247.com/files/img/logo/201902/201902150609487013.jpg,https://ninemanga.com/manga/One+Punch-Man.html
