Name,Creator,Rating,English_Link,English_Release_Date,Status,Image_URL
From a Knight to a Lady,Ink.Hyerim Sung,9.72 / 10,https://www.webtoons.com/en/fantasy/from-a-knight-to-a-lady/list?title_no=3164,"August 14, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/7/7b/From_a_Knight_to_a_Lady.png/revision/latest/scale-to-width-down/350?cb=20210815040028
Purple Hyacinth,EphemerysSophism,9.91 / 10,https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621,"May 21, 2019 (Originals)June 18, 2018 (Canvas)",Hiatus,https://static.wikia.nocookie.net/webtoon/images/0/02/Purple_Hyacinth_Mobile_Icon_2.jpg/revision/latest/scale-to-width-down/350?cb=20230306034704
Odd Girl Out,Morangji,9.84 / 10,https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420,"July 12, 2018",Ongoing,https://static.wikia.nocookie.net/webtoon/images/1/12/Odd_Girl_Out.png/revision/latest/scale-to-width-down/350?cb=20210103012834
Unwritten Death,MaracuyasArt,9.63 / 10,https://www.webtoons.com/en/romance/muerte-no-escrita/list?title_no=3201,"August 9, 2021",Status not found,https://static.wikia.nocookie.net/webtoon/images/b/bf/Unwritten_Death.png/revision/latest/scale-to-width-down/350?cb=20220425184842
It's Mine,LuckS,9.72 / 10,https://www.webtoons.com/en/thriller/its-mine/list?title_no=2010,"April 20, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/a/ab/It%27s_Mine.png/revision/latest/scale-to-width-down/350?cb=20210102045606
Secret Playlist,2F,9.60 / 10,https://www.webtoons.com/en/romance/secret-playlist/list?title_no=2395,"December 25, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/d/de/Secret_Playlist.png/revision/latest/scale-to-width-down/350?cb=20210103050057
Seasons of Blossom,HONGDUCKNEMONE,9.89 / 10,https://www.webtoons.com/en/romance/seasonsofblossom/list?title_no=2509,"March 22, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/9/96/Seasons_of_Blossom.png/revision/latest?cb=20210323005103
Death of a Pop Star,Violet Karim,9.39 / 10,https://www.webtoons.com/en/romance/death-of-a-pop-star/list?title_no=2273,"October 17, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/5/54/Death_of_a_Pop_Star.png/revision/latest/scale-to-width-down/350?cb=20210103004545
Before We Knew It,Nakano Mayaka,8.75 / 10,https://www.webtoons.com/en/romance/before-we-knew-it/list?title_no=1972,"April 11, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/1/14/Before_We_Knew_It.png/revision/latest?cb=20210102053523
No Longer A Heroine!,Maenggi Ki,9.38 / 10,https://www.webtoons.com/en/romance/no-longer-a-heroine/list?title_no=1264,"November 30, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/4/4d/No_Longer_A_Heroine%21.png/revision/latest/scale-to-width-down/350?cb=20201130112810
Viral Hit,Taejun PakKim Junghyun,9.84 / 10,https://www.webtoons.com/en/action/viral-hit/list?title_no=2268,"October 13, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/9/93/Viral_Hit.png/revision/latest/scale-to-width-down/350?cb=20210103012917
"Date First, Love Later",the gom (happybooks2u)JipsoonyBABABA,9.27 / 10,https://www.webtoons.com/en/romance/date-first-love-later/list?title_no=3345,"September 14, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/8/8c/Date_First%2C_Love_Later.png/revision/latest/scale-to-width-down/350?cb=20210915082707
Let Me Stay Over Tonight!,YunanaHeabun,9.52 / 10,https://www.webtoons.com/en/romance/let-me-stay-over-tonight/list?title_no=2683,"May 9, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/c/c2/Let_Me_Stay_Over_Tonight%21.png/revision/latest/scale-to-width-down/350?cb=20210603041130
Lost in Translation,Jjolee,9.71 / 10,https://www.webtoons.com/en/challenge/lost-in-translation/list?title_no=98085,"February 14, 2020 (Originals)July 20, 2017 (Canvas)",Ongoing,https://static.wikia.nocookie.net/webtoon/images/5/55/Lost_in_Translation.png/revision/latest/scale-to-width-down/350?cb=20210507002244
"Mom, I'm Sorry",MiTi / GUGU,9.72 / 10,https://www.webtoons.com/en/drama/mom-im-sorry/list?title_no=2049,"June 12, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/5/59/Mom%2C_I%27m_Sorry.png/revision/latest/scale-to-width-down/350?cb=20210103050005
Madame Outlaw,Junk RenWmW,9.52 / 10,https://www.webtoons.com/en/historical/madame-outlaw/list?title_no=2716,"June 3, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/9/95/Madame_Outlaw.png/revision/latest?cb=20220424151241
Back to You,Honey B,9.64 / 10,https://www.webtoons.com/en/drama/back-to-you/list?title_no=2113,"July 23, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/a/a5/Back_to_You.png/revision/latest/scale-to-width-down/350?cb=20210103045858
To You Who Swallowed a Star,ARI,9.49 / 10,https://www.webtoons.com/en/romance/to-you-who-swallowed-a-star/list?title_no=2533,"March 8, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/a/a0/To_You_Who_Swallowed_a_Star.png/revision/latest/scale-to-width-down/350?cb=20210309024933
Heavenly Roommates,MAROkang jaegeon,9.49 / 10,https://www.webtoons.com/en/fantasy/heavenly-roommates/list?title_no=3208,"August 10, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/0/00/Heavenly_Roommates.png/revision/latest/scale-to-width-down/350?cb=20210811074833
